id;weight;steps;sleep;water;protein;carbs;fat;calories;date
1;41019;17205;92503;66797;23101;16938;24506;87222;2023-03-19
2;10078;3681;78837;46605;88271;97274;88715;63631;2023-03-20
3;77329;65833;88872;83759;98397;38677;86707;29770;2023-03-20
4;65985;47498;14244;58772;4112;67298;83031;502;2023-03-20
5;36366;78766;60896;35301;32574;51840;18949;47958;2023-03-19
6;94156;72704;21453;60012;36283;52726;18395;60491;2023-03-20
7;44288;91179;57476;78772;32511;81308;40086;55067;2023-03-20
8;65687;39156;34831;13987;97855;12062;45986;26042;2023-03-19
9;30297;3648;12268;36128;50208;34433;42407;82926;2023-03-19
10;24435;61730;59014;31496;95515;10341;73959;77671;2023-03-19
